id,label
534,2
535,1
536,3
537,2
538,4
539,1
540,4
541,3
542,3
543,1
544,4
545,2
546,5
547,3
548,2
549,3
550,2
551,5
552,4
553,5
554,1
555,1
556,1
557,1
558,3
559,1
560,1
561,3
562,4
563,2
564,2
565,1
566,2
567,1
568,1
569,4
570,1
571,4
572,4
573,1
574,1
575,3
576,4
577,1
578,1
579,3
580,2
581,2
582,1
583,1
584,2
585,4
586,2
587,1
588,1
589,2
590,1
591,2
592,2
593,2
594,5
595,4
596,1
597,4
598,2
599,2
600,2
601,2
602,4
603,3
604,5
605,4
606,4
607,2
608,2
609,1
610,1
611,1
612,3
613,1
614,4
615,1
616,2
617,1
618,4
619,3
620,1
621,1
622,1
623,4
624,1
625,2
626,3
627,2
628,1
629,1
630,2
631,2
632,3
633,5
634,4
635,3
636,4
637,3
638,2
639,2
640,2
641,3
642,1
643,2
644,2
645,1
646,1
647,2
648,1
649,4
650,1
651,1
652,3
653,3
654,5
655,2
656,4
657,4
658,2
659,5
660,1
661,3
662,1
663,3
664,1
665,2
666,2
667,1
668,1
669,4
670,4
671,4
672,2
673,1
674,4
675,4
676,1
677,1
678,5
679,2
680,1
681,2
682,4
683,2
684,2
685,5
686,2
687,3
688,2
689,2
690,2
691,5
692,3
693,2
694,2
695,3
696,1
697,2
698,1
699,1
700,1
701,4
702,2
703,1
704,1
705,4
706,2
707,5
708,2
709,2
710,2
711,1
712,4
713,4
714,2
715,1
716,1
717,4
718,4
719,3
720,3
721,1
722,2
723,5
724,1
725,4
726,2
727,1
728,3
729,2
730,4
731,1
732,2
733,4
734,2
735,5
736,1
737,5
738,2
739,4
740,2
741,2
742,5
743,4
744,4
745,1
746,4
747,2
748,1
749,1
750,2
751,3
752,1
753,3
754,2
755,2
756,2
757,2
758,2
759,1
760,5
761,1
